2.054: [GC [PSYoungGen: 51200K->2816K(59712K)] 51200K->2888K(196288K), 0.0089350 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
4.944: [GC [PSYoungGen: 54016K->3663K(59712K)] 54088K->3743K(196288K), 0.0064140 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
6.550: [GC [PSYoungGen: 54863K->5608K(59712K)] 54943K->5696K(196288K), 0.0146190 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
7.364: [GC [PSYoungGen: 56808K->6020K(59712K)] 56896K->6108K(196288K), 0.0251540 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
8.014: [GC [PSYoungGen: 57220K->6484K(59712K)] 57308K->6580K(196288K), 0.0180250 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
9.330: [GC [PSYoungGen: 57684K->7704K(109312K)] 57780K->7808K(245888K), 0.0282810 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
11.437: [GC [PSYoungGen: 109016K->9074K(110400K)] 109120K->15505K(246976K), 0.0259410 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
12.865: [GC [PSYoungGen: 110380K->11784K(120128K)] 116812K->19999K(256704K), 0.0377510 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
13.502: [GC [PSYoungGen: 118344K->10776K(117376K)] 126559K->20642K(253952K), 0.0190420 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
14.077: [GC [PSYoungGen: 117336K->2880K(120896K)] 127202K->22684K(257472K), 0.0319740 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
15.395: [GC [PSYoungGen: 108288K->4917K(110336K)] 128092K->27522K(246912K), 0.0298120 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
16.131: [GC [PSYoungGen: 110325K->12880K(118592K)] 132930K->40263K(255168K), 0.0413390 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
16.303: [GC [PSYoungGen: 116368K->192K(103680K)] 143751K->40402K(240256K), 0.0460150 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
16.521: [GC [PSYoungGen: 103680K->64K(119360K)] 143890K->40402K(255936K), 0.0026830 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.680: [GC [PSYoungGen: 102528K->96K(119488K)] 142866K->40482K(256064K), 0.0026190 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.961: [GC [PSYoungGen: 102560K->96K(119040K)] 142946K->40538K(255616K), 0.0031720 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
17.153: [GC [PSYoungGen: 102624K->416K(119296K)] 143066K->40906K(255872K), 0.0045280 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
17.792: [GC [PSYoungGen: 102944K->2528K(118208K)] 143434K->43407K(254784K), 0.0119740 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
18.364: [GC [PSYoungGen: 105888K->2720K(118912K)] 146767K->46056K(255488K), 0.0241580 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
18.957: [GC [PSYoungGen: 106080K->2720K(119552K)] 149416K->48699K(256128K), 0.0115400 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
19.372: [GC [PSYoungGen: 108960K->1856K(120192K)] 154939K->50466K(256768K), 0.0168590 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
